"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"15_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","15","0,875","10","1","0,393442623","0,564705882","0,96875","0,449275362","0,613861386","2425","00:10:07","0.9936582749521268","-12144415","26.11.2022 14:11","1606","0,958333333","0,333333333","0,494623656"
"25_11_85_dbpedia_dw","dbpedia","dw","25","0,85","11","0,994535519","0,629757785","0,771186441","0,975308642","0,782178218","0,868131868","571","00:00:16","0.9639047817907086","336055","21.11.2022 23:40","445","0,983606557","0,594059406","0,740740741"
"27_10_85_dbpedia_kaggle","dbpedia","kaggle","27","0,85","10","0,946808511","0,440594059","0,601351351","0,852941176","0,950819672","0,899224806","15806","00:18:50","0.9942044619521371","284531","22.11.2022 18:50","3572","0,95","0,62295082","0,752475248"
"10_11_85_dbpedia_forbes","dbpedia","forbes","10","0,85","11","1","0,443820225","0,614785992","0,976190476","0,640625","0,773584906","575","00:00:13","0.9627863194874974","360154","22.11.2022 21:07","447","0,971428571","0,53125","0,686868687"
"21_12_85_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0,85","12","0,981981982","0,595628415","0,741496599","0,984615385","0,914285714","0,948148148","4966","00:18:40","0.9914951480995708","-16286807","28.11.2022 13:49","2429","1","0,657142857","0,793103448"
"23_10_87_dbpedia_kaggle","dbpedia","kaggle","23","0,875","10","0,976470588","0,410891089","0,578397213","0,944444444","0,836065574","0,886956522","5419","00:18:44","0.9942044619521371","284531","22.11.2022 17:09","2810","0,972222222","0,573770492","0,721649485"
"23_11_87_dbpedia_dw","dbpedia","dw","23","0,875","11","1","0,584775087","0,737991266","1","0,712871287","0,832369942","539","00:00:14","0.9639047817907086","336055","21.11.2022 23:39","427","1","0,554455446","0,713375796"
"15_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","15","0,85","10","1","0,404371585","0,575875486","0,972222222","0,507246377","0,666666667","2434","00:10:07","0.9936582749521268","-12144415","26.11.2022 14:11","1612","0,964285714","0,391304348","0,556701031"
"25_11_87_dbpedia_forbes","dbpedia","forbes","25","0,875","11","0,989247312","0,516853933","0,67896679","0,92","0,71875","0,807017544","638","00:00:53","0.9627863194874974","360154","23.11.2022 12:40","493","0,928571429","0,609375","0,735849057"
"25_11_8_dbpedia_dw","dbpedia","dw","25","0,8","11","0,989361702","0,643598616","0,779874214","0,966292135","0,851485149","0,905263158","622","00:00:18","0.9639047817907086","336055","23.11.2022 12:59","470","0,983870968","0,603960396","0,748466258"
